sample_id_db,sample_id_rs,datagram_id_rs,timestamp_db,timestamp_rs,channel,value
1,1,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16778
2,2,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16123
3,3,1,"2025-10-13 21:16:40",1760390199.767,EHZ,15939
4,4,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16487
5,5,1,"2025-10-13 21:16:40",1760390199.767,EHZ,15709
6,6,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16108
7,7,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16302
8,8,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16549
9,9,1,"2025-10-13 21:16:40",1760390199.767,EHZ,15857
10,10,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16142
11,11,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16800
12,12,1,"2025-10-13 21:16:40",1760390199.767,EHZ,15887
13,13,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16318
14,14,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16274
15,15,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16187
16,16,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16444
17,17,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16437
18,18,1,"2025-10-13 21:16:40",1760390199.767,EHZ,15846
19,19,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16018
20,20,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16302
21,21,1,"2025-10-13 21:16:40",1760390199.767,EHZ,15945
22,22,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16378
23,23,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16455
24,24,1,"2025-10-13 21:16:40",1760390199.767,EHZ,16468
25,25,1,"2025-10-13 21:16:40",1760390199.767,EHZ,15894
26,26,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16522
27,27,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16394
28,28,2,"2025-10-13 21:16:40",1760390200.017,EHZ,15671
29,29,2,"2025-10-13 21:16:40",1760390200.017,EHZ,17100
30,30,2,"2025-10-13 21:16:40",1760390200.017,EHZ,15786
31,31,2,"2025-10-13 21:16:40",1760390200.017,EHZ,15653
32,32,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16860
33,33,2,"2025-10-13 21:16:40",1760390200.017,EHZ,15684
34,34,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16379
35,35,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16212
36,36,2,"2025-10-13 21:16:40",1760390200.017,EHZ,15966
37,37,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16360
38,38,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16246
39,39,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16257
40,40,2,"2025-10-13 21:16:40",1760390200.017,EHZ,15888
41,41,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16471
42,42,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16571
43,43,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16024
44,44,2,"2025-10-13 21:16:40",1760390200.017,EHZ,15988
45,45,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16629
46,46,2,"2025-10-13 21:16:40",1760390200.017,EHZ,15854
47,47,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16239
48,48,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16404
49,49,2,"2025-10-13 21:16:40",1760390200.017,EHZ,15371
50,50,2,"2025-10-13 21:16:40",1760390200.017,EHZ,16533
51,51,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16228
52,52,3,"2025-10-13 21:16:40",1760390200.267,EHZ,15879
53,53,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16191
54,54,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16387
55,55,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16303
56,56,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16013
57,57,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16504
58,58,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16407
59,59,3,"2025-10-13 21:16:40",1760390200.267,EHZ,15940
60,60,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16779
61,61,3,"2025-10-13 21:16:40",1760390200.267,EHZ,15940
62,62,3,"2025-10-13 21:16:40",1760390200.267,EHZ,15776
63,63,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16874
64,64,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16052
65,65,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16314
66,66,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16420
67,67,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16268
68,68,3,"2025-10-13 21:16:40",1760390200.267,EHZ,15901
69,69,3,"2025-10-13 21:16:40",1760390200.267,EHZ,16196
